ID,Name,Avail Stellar,Avail Location,Avail Record,Avail Rating,Avail Random,Travel Stellar,Return Stellar,Cargo Type,Cargo Quantity,Pickup Mode,Dropoff Mode,Scan Mask,Pay Value,Ship Count,Ship System,Ship Dude,Ship Goal,Ship Behaviour,Ship Name,Ship Start,Comp Govt,Comp Reward,Ship Subtitle,Brief Text,Quick Brief Text,Load Text,Drop Text,Comp Text,Fail Text,Time Limit,Can Abort,Ship Done Text,Aux Count,Aux Dude,Aux System,Flags 1,Flags 2,Refuse Text,Avail Ship,AvailableOn,OnAccept,OnRefuse,OnSuccess,OnFailure,OnAbort,Require,Date Increment,OnShipDone,Accept Button,Refuse Button,Display Weight
218,UGE Smuggling,10001,1,0,-1,1,10002,-1,1000,20,0,0,0xFFFF,0,2,-1,173,-1,-1,-1,78,142,-15,-1,5089,6089,-1,-1,7090,-1,45,1,-1,3,159,-2,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
219,UGE Redemption,147,1,0,-1,25,10002,-1,1000,25,0,0,0xFFFF,50000,3,-6,159,-1,0,-1,1078,142,2,-1,5091,6083,-1,-1,7091,-1,35,1,-1,2,183,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
220,Confed Covert Ops,134,1,10,3200,15,10001,-4,19,0,1,1,0x0081,40000,3,-6,138,-1,10,-1,95,0,5,-1,5092,6092,8092,-1,7092,-1,60,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
221,Confed Courier Operations,134,1,0,-1,100,10002,-4,12,0,0,0,0x0081,60000,4,-6,138,-1,10,-1,96,128,5,1095,5093,6093,-1,8093,7093,-1,60,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
222,Intercept Rebel Convoy,10000,1,10,1600,5,-1,-4,10,10,2,1,0xFFFF,60000,1,184,153,2,9,10003,97,128,5,97,5094,6094,-1,-1,7094,-1,-1,1,-1,2,138,184,0x1000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
223,Intercept Rebel Convoy,10000,1,10,1600,5,-1,-4,10,10,2,1,0xFFFF,60000,1,156,153,2,9,10003,1097,128,5,1097,5095,6095,-1,-1,7094,-1,-1,1,-1,2,138,156,0x1000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
224,Transport Industrial Toxins,10000,0,1,200,10,177,-1,1,10,5,0,0xFFFF,35000,-1,-1,-1,-1,-1,-1,98,-1,-1,-1,5096,6096,-1,-1,7096,-1,30,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
225,Deliver Refined Toxins,177,0,0,-1,100,131,-1,1,5,0,0,0xFFFF,45000,-1,-1,-1,-1,-1,-1,99,-1,-1,1098,5097,6097,-1,-1,7097,-1,-1,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
226,Distribute Biological Weapons,131,1,1,200,10,10000,-1,10,7,0,0,0x0081,60000,5,-3,130,-1,0,-1,-1,-1,-1,-1,5098,6098,-1,-1,7098,-1,30,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
227,Rebel Recon,133,1,1,800,8,-1,-4,-1,-1,-1,-1,0xFFFF,40000,5,-5,143,4,10,-1,99,1,10,-1,5099,6099,-1,-1,7099,-1,30,1,-1,-1,-1,-1,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
228,Stop Confed Defector,10000,1,1,400,3,-1,-5,-1,-1,-1,-1,0xFFFF,80000,1,-4,190,0,-1,10017,-1,128,15,-1,5100,6100,-1,-1,7100,-1,30,1,-1,3,138,-1,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
229,Destroy Rebel Convoy,10000,1,1,800,10,-1,9999,-1,-1,-1,-1,0xFFFF,100000,5,-4,194,0,9,-1,-1,128,5,-1,5101,6101,-1,-1,7101,-1,-1,1,-1,1,193,-3,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
230,Astrodyne Outpost Recruitment,161,1,64,6400,15,128,161,20,0,1,1,0x0080,50000,2,-3,137,-1,0,-1,102,1,64,-1,5102,6102,8102,-1,7102,-1,-1,-1,0,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
231,Astrodyne Outpost I,161,1,0,-1,100,196,196,14,0,0,1,0x0080,20000,-1,-1,-1,-1,-1,-1,103,1,64,-1,5103,6103,-1,-1,7103,-1,-1,-1,0,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
232,Astrodyne Outpost II,196,1,0,-1,100,221,196,6,0,1,1,0x0080,50000,4,-3,137,-1,0,-1,104,1,64,-1,5104,6104,8104,-1,7104,-1,-1,-1,0,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
233,Astrodyne Outpost III,196,1,0,-1,100,219,161,14,0,1,1,0x0080,1000000,3,-3,129,-1,0,-1,105,1,128,-1,5105,6105,8105,-1,7105,-1,-1,-1,0,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
234,Astrodyne Outpost IV,161,1,0,-1,50,226,161,19,0,1,1,0x0080,50000,3,-3,143,-1,0,-1,106,1,64,-1,5106,6106,8106,-1,7106,-1,-1,-1,0,3,153,-2,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
235,Astrodyne Outpost V,161,1,0,-1,25,-1,161,22,0,2,1,0x0080,-20173,1,141,163,2,9,10003,107,1,64,-1,5107,6107,8107,-1,7107,9107,-1,-1,0,6,149,141,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
236,Ferry Passenger to <RST>,-1,1,0,8000,5,-1,9999,6,0,0,1,0xFFFF,30000,1,-6,134,-1,0,-1,108,-1,0,-1,5108,6108,-1,-1,7108,-1,-1,1,0,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
237,Retrieve Data,144,1,0,-1,100,10002,-4,16,0,1,1,0x0082,50000,2,-3,134,-1,0,-1,109,-1,0,-1,5109,6109,8109,-1,7109,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
238,Rescue Agent,136,1,0,-1,100,-1,10002,6,1,2,1,0x0082,50000,1,-4,144,5,-1,-1,110,-1,0,-1,5110,6110,8110,-1,7110,-1,-1,1,-1,5,134,-2,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
239,Gather Hunters,156,1,0,-1,100,191,167,6,0,0,0,0x0082,250000,3,-3,134,-1,0,-1,111,-1,0,-1,5111,6111,-1,8111,7111,-1,-1,1,0,2,173,-1,0x1110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
240,Meet with UGE Reps,167,1,0,-1,100,9999,191,6,0,0,0,0x0082,250000,4,-6,192,-1,1,10012,112,-1,0,-1,5112,6112,-1,8112,7112,-1,-1,1,0,2,159,-1,0x1110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
241,T.A.G. - You’re It,191,1,0,-1,100,10002,-1,-1,0,-1,-1,0x0082,500000,10,-3,161,0,-1,-1,113,-1,0,-1,5113,6113,-1,-1,7113,-1,-1,1,0,2,182,-2,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
242,Destroy Escort Carrier,10000,1,1,800,100,-1,-4,-1,-1,-1,-1,0xFFFF,100000,1,-5,193,0,-1,10018,114,128,15,-1,5114,6114,-1,-1,7114,-1,-1,1,-1,2,174,-1,0x0010,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
243,Destroy Escort Carrier,10000,1,1,800,5,-1,-4,-1,-1,-1,-1,0xFFFF,100000,1,-5,193,0,-1,10018,-1,128,10,-1,5115,6115,-1,-1,7115,-1,-1,1,-1,3,174,-1,0x0010,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
