ID,Name,Description,Graphic,Movie Filename,Flags
3026,,"No pilot should fly without the trusty and reliable Markin-Bater escape pod. It allows a pilot to eject from his stricken ship and survive for up to a week. Granted, the included rations aren’t all that tasty, but it beats breathing vacuum.",-1,,0x0000
3027,,"This device is able to detect the approximate mass of any ship within range of your ship’s scanners, allowing you to differentiate between large and small ships on your radar display.",-1,,0x0000
3028,,"This piece of equipment inserts into your scanner’s upgrade port and provides realtime interrogation of subspace transponders. This allows your scanner to color-code your radar display, based on your legal standing with other ships and planets.",-1,,0x0000
3029,,"No privateer should be without this handy add-on. By dumping raw fuel directly into your engine’s exhaust stream, the afterburner dramatically increases both your thrust and your top speed for short periods of time. However, it consumes fuel at a prodigious rate.",-1,,0x0000
3030,,"This advanced electronic countermeasures device broadcasts subspace interference waves that confuse the seeker heads of incoming missiles, causing them to track less accurately. Be forewarned, though, that torpedoes seem unaffected by such jamming.",-1,,0x0000
3031,,"Rocket launchers are used to load, arm, and fire unguided heavy rockets.",-1,,0x0000
3032,,"The heavy rocket is a primitive but devastating weapon. After it is launched, its engine propels it along a straight course until its proximity detector senses a nearby ship and detonates its high-explosive warhead. Though simple, the heavy rocket packs quite a wallop.",-1,,0x0000
3033,,Bomb racks are used to carry gravitic space bombs.,-1,,0x0000
3034,,"Gravitic space bombs are probably the most difficult-to-deliver type of weapon, but they are also the highest-yield munitions available. They simply drift through space until their sensitive gravitic detectors register the mass shadow of an approaching ship. The titanic energy waves released by an exploding space bomb are enough to knock an asteroid from its orbit. ",-1,,0x0000
3035,,This externally-mounted weapons pod holds Javelin rockets and fires them through the exit ports mounted on its front surface. ,-1,,0x0000
3036,,"Fulcrum Munitions’ Javelin hypervelocity rocket is the high-tech equivalent of the bow and arrow. These tiny but incredibly fast powered projectiles inflict great damage to small targets, due to the hardened alloys used in the construction of their reinforced, armor-piercing nose cones. Javelins work best when fired by fighters and patrol craft, as  their high speed and lack of guidance necessitate an agile firing platform.",-1,,0x0000
3037,,This map will automatically update your ship’s computer with information about surrounding systems up to two jumps away.,-1,,0x0000
3038,,Particle Beam,-1,,0x0000
3039,,Cloaking Device,-1,,0x0000
3040,,The Meizner ramscoop uses high-energy magnetoscopic fields to extract charged hydrogen ions from the solar wind. It can slowly regenerate your fuel supply while in flight.,-1,,0x0000
3041,,"This handy device automatically contacts spaceport computers and arranges for them to refuel your ship, saving you the worry. Of course, it still costs the same to top off your tanks.",-1,,0x0000
3046,,Flare launchers are used to drop missile-foiling decoy flares.,-1,,0x0000
3047,,"The Hall Munitions Company’s decoy flares are a popular after-market add on among starship captains who prefer to run rather than fight. The shape of the magnisite-impregnated flare is designed to afford the maximum possible radiation of energy in all directions. As a result, they excel at luring away guided missiles.",-1,,0x0000
3052,,These highly illegal false identification papers will effectively eliminate your criminal record in Confederation systems.,-1,,0x0000
3053,,"This auto-ejection system will save you the worry of manually bailing out of your ship should it be destroyed in combat — assuming you already have an escape pod installed, that is.",-1,,0x0000
4000,,"A group of travellers needs to get to <DST> in the <DSY> system. They will pay 10,000 credits.",-1,,0x0000
4001,,"A group of people ask to be taken to <DST> in the <DSY> system, in return for 10,000 credits.",-1,,0x0000
4002,,"A group of travellers offers you 10,000 credits to take them to <DST> in the <DSY> system.",-1,,0x0000
4003,,"A shady-looking character approaches you. His clothing is ripped, his face is bruised and cut, and he keeps glancing about warily. “I’ve heard that the <PSN> is a fast ship,” he says. “I’ll pay you 75,000 credits if you can take me to <DST> in the <DSY> system, with no questions asked.” Do you accept?",-1,,0x0000
4004,,A pirate with a cybernetic implant in one eye approaches your table and offers you a hundred thousand credits for what he describes as “a piece o’ cake mission.”,-1,,0x0000
4005,,"An Astex Mining Industries representative approaches you. “You’re <PN>, aren’t you? Astex is interested in samples of the subsurface mineral content of <DST> in the <DSY> system. We’ll pay you 35,000 credits to retreive a core sample of the planet. Are you interested?”",-1,,0x0000
4006,,"A cloaked figure approaches you and motions for you to follow him. “You could help the Rebellion with our cause,” he says, “by capturing a shipment of munitions and smuggling it out of this system.” Do you accept his invitation?",-1,,0x0000
4007,,"<DST> needs a rush shipment of <CQ> tons of <CT>. Pay is 25,000 credits.",-1,,0x0000
4008,,"<DST> needs a rush shipment of <CQ> tons of <CT>. Pay is 25,000 credits.",-1,,0x0000
4009,,"<DST> needs a rush shipment of <CQ> tons of <CT>. Pay is 25,000 credits.",-1,,0x0000
4010,,"<DST> needs a rush shipment of <CQ> tons of <CT>. Pay is 25,000 credits.",-1,,0x0000
4011,,"<DST> needs a rush shipment of <CQ> tons of <CT>. Pay is 25,000 credits.",-1,,0x0000
4012,,"<DST> needs a special shipment of <CQ> tons of <CT>. Pay is 10,000 credits.",-1,,0x0000
4013,,"<DST> needs a special shipment of <CQ> tons of <CT>. Pay is 10,000 credits.",-1,,0x0000
4014,,"<DST> needs a special shipment of <CQ> tons of <CT>. Pay is 10,000 credits.",-1,,0x0000
4015,,"<DST> needs a special shipment of <CQ> tons of <CT>. Pay is 10,000 credits.",-1,,0x0000
4016,,"<DST> needs a special shipment of <CQ> tons of <CT>. Pay is 10,000 credits.",-1,,0x0000
4017,,A local official inquires as to whether you would be willing to eliminate a pirate that has been plundering ships in and around the <RSY> system.,-1,,0x0000
4018,,"A man who looks to be a Rebel operative hints that a Confederation official will be travelling through this region soon. “It would be most unfortunate,” he says, “if he were to meet with an... accident.” Do you take him up on his offer?",-1,,0x0000
4019,,A representative of the <RST> government bursts into the bar. “This system is under attack by pirates!” he shouts. “The local government will pay a princely sum to whoever can eliminate the pirate menace!” Will you help?,-1,,0x0000
4020,,"The Rebel officer sitting next to you receives a communication on his wristphone, listens for a second, and then looks aghast. He stands up and addresses the crowd. “<RST> has fallen under surprise attack by Confederation warships!” he shouts. Will you help the Rebels?",-1,,0x0000
4021,,"A local official sits down next to you, and whispers a greeting that you can barely hear over the music. “A Confederation transport has hit a mine and is adrift in a nearby system,” he says. “Their engines and life support systems are damaged and they are in need of assistance, but we don’t have any rescue ships available. Are you interested in a little search-and-rescue mission?”",-1,,0x0000
4022,,"You hear on the news report that a convoy of ore freighters travelling through the <RSY> system ran into an ion storm which disabled their engines yesterday. The guy sitting next to you is watching, too - “The crew were rescued safely, but the ore is still out there,” he says. “I hear there’s a reward for whoever salvages the cargo.” Sound like an interesting mission?",-1,,0x0000
4023,,"“Hey, you’re the captain of the <PSN>, aren’t you?” says the woman sitting next to you at the bar. Judging by her uniform, she’s a merchant freighter captain. “My convoy is shipping out to <RST> in a few hours,” she says. “We’d sure like to have you flying with us along the way. Interested in some escort work?”",-1,,0x0000
4024,,"You are approached by a person whom you recognize as an official of the Diphidian government. “Diphidia II is threatened with ecological disaster,” he tells you, “due to the actions of a person or persons which have secretly been dumping toxic waste in the oceans. Diphidia’s government needs someone to investigate. Will you help us?”",-1,,0x0000
4025,,"Your government contact greets you. “The Astex freighter you observed leaving here on your last mission has been tracked to the Astex mining facility on New Providence,” he says. “We need you to go to the Antares system and do a little reconassiance for us.” Ready to go?",-1,,0x0000
4026,,"“Something suspicious is going on in the Antares system,” says your contact, “something Astex doesn’t want us to find out about. We have detected another Astex freighter entering the Diphidia system; your mission will be to disable it and capture a sample of the ore in its cargo bays. Are you ready for this assignment?”",-1,,0x0000
4027,,"“The ore sample you retreived for us has the same toxic chemicals in it that are being dumped in our oceans,” says the Diphidian governer’s representative. “Now that we know Astex is behind this, we need to send them a clear message: your mission is the destruction of one of their freighter convoys. Are you up to it?”",-1,,0x0000
4028,,"“The data you have gathered for us will be the downfall of the Astex Mining Corporation’s very profitable operations in this region of space,” says your contact. “For safety, we need to send a complete copy of this data to friendly agents in the <RSY> system.” Ready to undertake this mission?",-1,,0x0000
4029,,"“You’re <PN>, aren’t you?” says a man sitting at the bar. “I’ve got a little job I need done - the citizens of <DST> can’t get enough wood products to meet their needs; they’re willing to pay tremendous sums for even one shipload of trees. All you have to do is take <CQ> tons of <CT> there, and we’ll both make a bundle. Are you interested?”",-1,,0x0000
4030,,"“I’m from GreenSpace,” says a woman sitting at the bar. “The government of <DST> has requested that a survey team of environmental engineers from Hera come and check their climatic balance. We’re looking for a starship captain willing to take us there.” Are you interested?",-1,,0x0000
4031,,"The tavern is in an uproar - <RST> is about to come under attack by Lethean ships! The Cydonian government will pay 80,000 credits to whoever can defend the planet. Will you help?",-1,,0x0000
4032,,"The bar is in an uproar - Cydonian warships are approaching <RST>! The Lethean government will pay 90,000 credits to whoever can defend the planet. Will you help?",-1,,0x0000
4033,,"A Confederation officer sits down next to you and speaks quietly to you. “Confed Intel has received reports that the Rebellion is massing its forces in preparation for renewed attacks on the Confederation,” he says. “A good pilot who won’t ask questions is needed to help locate their fleet. Are you interested?”",-1,,0x0000
4034,,"“A Confederation convoy will be passing through this system soon,” says a voice in your ear. You turn around - a cloaked Rebel operative is standing behind you. “The Rebellion would be willing to reward the pilot who causes the convoy to meet with an ‘unfortunate accident.’ Are you interested?”",-1,,0x0000
4035,,A man wearing a Rebel commander’s uniform approaches you and inquires as to whether you are interested in “a little special operations work for the Rebellion.”,-1,,0x0000
4036,,"“The special-ops team is in place aboard your ship, and the cloaking device is almost installed,” says the garrison commander. “As soon as you’re ready to leave, the secret mission can begin. Are you all set?”",-1,,0x0000
4037,,You see Major Davies and his men sitting at a table in the back of the bar. He motions for you to come over. Do you approach his table?,-1,,0x0000
4038,,"A Confederation officer in the bar recognizes you as the captain of the <PSN> and invites you to his table. “Confed Intel is looking for a pilot who can fly a basic reconnaissance mission without asking too many questions,” he says. “Are you interested?”",-1,,0x0000
4039,,"“The Rebels have fled from the NGC-6564 system with the stolen prototype,” says the base commander as you sit down. He takes a sip from his Jynnian Tonnyx, grimaces, and continues. “Our last sighting report from our patrol ships places them on a course to <RST>. Your mission will be to proceed there and investigate.”",-1,,0x0000
4040,,"All these Confed officers are starting to look the same to you. “The Rebels have eluded us again,” this one says, “but we know roughly where they’re heading. Advance scouts have located them heading towards the <RSY> system, which means they’re probably planning on transferring the stolen weapon prototype to another ship at <RST> station. Follow them there to investigate, but watch out for Rebel defenders - the cruiser R.S.S. Renegade has recently been sighted in the area.”",-1,,0x0000
4041,,"“Once more the Rebel traitors have escaped, but thanks to your efforts we’re closing in on them,” says your contact. “The <RSY> system, a longtime Rebel stronghold, is the thieves’ current destination. Because of the high numbers of Rebel warships in the area, we are dispatching a squadron of patrol ships to assist you - backtrack into the Farazon system to rendezvous with them. Your mission is to somehow get onto <RST> and contact another of our agents there.”",-1,,0x0000
4042,,"“We have traced the Rebel thieves to their final destination,” says the Confederation spy who is again waiting for you in the bar. “They intend to transfer the stolen particle beam to their research facility on Palshife, in the Satori system. You must recover the weapon before their freighter gets to Palshife, and then bring it immediately to our nearest garrison, on Hodgson’s World.”",-1,,0x0000
4043,,"A man wearing a military uniform sits down at your table. “Captain <PN>, right?” he asks by way of greeting. “I’m with the Confederation Supply Bureau. Occasionally we have need of the services of merchant captains like yourself - are you interested in a little courier mission?”",-1,,0x0000
4044,,"A woman wearing a military uniform sits down at your table. “Captain <PN>, right?” she asks by way of greeting. “I’m with the Rebellion’s supply staff. We often call upon merchant captains like yourself to bolster our small courier fleet. Are you interested in a little courier mission?”",-1,,0x0000
4045,,"Two men at the next table are arguing. “I’m telling ya, Jenkins,” one of them is saying, “We don’t have the capacity to run this excess today!” The other one notices you staring at them. “Hey, you’re the captain of the <PSN>, aren’t you?” he asks. “Interested in an easy 10,000 credits?”",-1,,0x0000
4046,,"Snatches of conversation drift over from the table next to you. “...rush job... pirates... lucrative...” One of the table’s occupants - a Starbound Shipping officer, you realize - glances in your direction. “Hey look, there’s <PN>,” she says to her partner. “Remember that job a while back? Hey captain, you want another job?”",-1,,0x0000
4047,,"A Starbound Shipping representative sits down next to you. “Hello, captain,” he greets you. “Twice in the past you’ve helped my company. Now, we have a rather dangerous mission for you. Are you interested?”",-1,,0x0000
4048,,"A Starbound Shipping rep approaches you. “Ah look, it’s <PN>,” he says. “We have another - potentially dangerous - mission for you. Are you interested?”",-1,,0x0000
4049,,"A man wearing a Starbound Shipping uniform approaches your table. “Captain, we need your help again,” he says. “We have a dangerous mission coming up, and we’d like you to fly it. Are you interested?”",-1,,0x0000
4050,,"A crowd of what appear to be engineers is gathered in the bar. “Hey, there’s a likely-looking one,” shouts someone as he notices you. “We need to get to <RST> - will you take us there?”",-1,,0x0000
4051,,"The Turin terraforming project foreman is relaxing in the bar when you walk in. “Ah, you must be <PN>,” he says by way of greeting. “I think we have some more work for you - one last load of equipment for the project needs to be shipped in from <DST>. Are you interested in the job?”",-1,,0x0000
4052,,"“Greetings again, captain,” says the terraforming project foreman as you sit down at the bar. “We have another job for you - a group of volunteer colonists needs to be transported here from <DST>. Interested?”",-1,,0x0000
4053,,"“Hey, there’s <PN>,” says the Turin terraforming project foreman as he notices you sitting at the bar. “Just the starship captain I need to see. One of our atmospheric converters has broken down, and we need to get a replacement unit from <DST>. Will you help us?”",-1,,0x0000
4054,,"“Greetings,” says the Turin project foreman as he sits down at your table. “The terraforming project needs a resupply shipment of <CT> from <DST>. Will you go there and retreive it for us?”",-1,,0x0000
4055,,"“<PN>, thank Newton you’re here!” shouts the Turin project foreman as a commotion erupts in the bar. “This system is under attack by pirates! Will you help us defend our colony?”",-1,,0x0000
4056,,"A Rebel officer sitting across the room keeps making eye contact with you. As he gets up to leave, he drops a cocktail napkin on your table. Scrawled on it are the words “DB94 in 1 hr.” Do you follow a hunch and go to docking bay 94?",-1,,0x0000
4057,,"“Hello again, captain,” says the Rebel officer you met earlier. “Our new plan is to send a squadron of Manta fighters on a sweep through the sector of space around the Nexus system - you will lead this patrol”",-1,,0x0000
4058,,"“Captain, your next mission will be a tough one. We’ve had a spy in the Confederation government for a couple of years now. In order to determine whether or not this is some sort of Confederation trick, we need to extract him from Confed space and find out what he’s learned. Feel up to it?”",-1,,0x0000
4059,,"“<PN>!” booms a familiar voice from across the room. “Never thought I’d see you again.” Your recognize the man speaking your name as Major Davies - it’s now Admiral Davies, judging by his rank insignia - the leader of the special operations team you help insert onto Luna. “We’ve got trouble, my friend,” he says. “And if I’m right, it’s going to be a real life-or-death fight. Are you willing to join us?”",-1,,0x0000
4060,,"Admiral Davies is waiting for you in the bar, “It’s worse than I feared,” he says. “It’s time for another patrol mission.”",-1,,0x0000
4061,,"Admiral Davies meets you in the spaceport bar. “We’ve managed to assemble a small fleet of escorts for you,” he says, “but destroying this alien battlecruiser will still be a virtual suicide mission. Are you ready for this?”",-1,,0x0000
4062,,"As a man at the bar stands up to leave, he drops a datacrystal in your uniform pocket and gives you a significant look. You quietly slip the crystal into your reader, and find the message “Tunnel seven in one hour.” Do you follow the instructions and go to tunnel seven?",-1,,0x0000
4063,,"Your Confed contact is waiting for you in the bar. “Your next mission will be to escort a Confederation freighter convoy through the Risa system,” he says.",-1,,0x0000
4064,,"You access the bar’s comm panel and read the encrypted message waiting for you: “From Adm Sykes, CSN / To Capt <PN> / Your help requested for a mission of utmost importance. Mission is an excursion deep into enemy territory to extract an operative of the Intelligence Bureau. Successful completion of this mission is vital repeat vital to the future of the Confederation.”",-1,,0x0000
4065,,A Confederation Navy yeoman comes looking for you. “Captain <PN>? Admiral Sykes will see you now.” Do you go with him?,-1,,0x0000
4066,,"Admiral Sykes looks a bit out of place in the spaceport bar. “Captain, you’re not a Navy officer, so I can’t order you to accept this mission. However, you’re the best hope we’ve got, so I’m asking you... will you help us eliminate the aliens?”",-1,,0x0000
4067,,"As your suit helmet’s lamp casts eerie shadows across the walls of the derelict ship’s bridge, you keep glancing over your shoulder - something doesn’t seem right here. There are no crew aboard, and the emergency beacon seems to be running on automatic. Suddenly, you receive a panicked signal from the <PSN> - sensors detect pirates jumping in! It’s a trap!",-1,,0x0000
4068,,"You cycle through the disabled ship’s main airlock and emerge in the amidships companionway. The corridor is dark, deserted, and quiet - a little too quiet, in fact. You make your way to the bridge and discover that the ship is running on automatics, apparently without a single crew member aboard. Suddenly, you receive a frantic message from the <PSN> - pirate fighters are jumping in from hyperspace! It’s a trap!",-1,,0x0000
4069,,"The captain of the <OSN> appears on the viewscreen. “Greetings, captain,” he says. “I have some passengers aboard that need to get to <DST>, but I have another delivery to make first and I need someone else to take them there. Are you interested?”",-1,,0x0000
4070,,"“Greetings,” says the captain of the <OSN>. “I have an extra <CQ> tons of <CT> aboard that need to get to <DST>, but I have a passenger delivery to make first and I need someone else to take them there. Are you interested?”",-1,,0x0000
4071,,"The merchant captain appears on your viewscreen. “Greetings, <PN>,” he says. “I’ve got a shipment of expensive cargo bound for <RST>, and I’d sure feel safer if you were along with me for protection. I’ll pay you 25,000 credits to be my escort to <RST> - interested?”",-1,,0x0000
4072,,"Suddenly, a platoon of Rebel marines bursts into the spaceport bar! Their squad leader searhces the crowd for a moment, and then points to you. “There he is, men!” he shouts. “Grab him!” With no chance to escape from the crowded barroom, the marines quickly sieze you and drag you off to the port governer’s office...",-1,,0x0000
4073,,"As your crew spreads out to explore the expanses of this ship, they discover that the aft cargo hold is filled with dozens upon dozens of large crates that bear “Top Secret” stencils and are labelled with the Atinoda Space Industries logo. Opening up the crates, you discover that they are filled with Kestrel subassemblies. This is a golden opportunity... do you want to load the parts onto your ship?",-1,,0x0000
4074,,"“Thank goodness you responded!” the captain of the <OSN> says over the comlink. “A band of pirates has been chasing me for the last ten light years - I think they want my cargo of <CT>. Look, I’ll give you fifteen thousand credits to take my cargo to <RST>. Do we have a deal?”",-1,,0x0000
4075,,"A scruffy individual with a large scar on his cheek approaches you quickly.  Glancing nervously over his shoulder, he asks if you'd be interested in running a quick search and retrieval mission.  Interested?",-1,,0x0000
4076,,"A dockworker, dressed in dirty gray overalls, approaches you in the bar.  “<PN>?  Good.  We need to get some of these weapons off this planet.”  He glances at his clipboard quickly.  “Here, this one needs to go to <DST>...  You know, in the <DSY> system...  You interested?”",-1,,0x0000
4077,,"Excess waste materials need to be transported to <DST> for dumping.  Pay is 20,000 credits.",-1,,0x0000
4078,,<DST> has had a brush with Sajack’s plague and requires a rush shipment of emergency medical supplies within the next three weeks.,-1,,0x0000
4079,,"<DST> is expecting a Rebel attack within two months, and the Confederation requires aid in evacuating civilians to <RST>.",-1,,0x0000
4080,,"<DST> is expecting a Confed attack within two months, and the Rebellion requires aid in evacuating civilians to <RST>.",-1,,0x0000
4081,,"A small, wiry man wearing a blue uniform stumbles into the bar, dripping with sweat.  He hurriedly sits down at the table behind you.  Suddenly, a group of three pirates, snarling and bristling with malicious delight, burst into the bar and walk over to you, asking for the whereabouts of a man in a blue uniform.  Do you tell them he already left?",-1,,0x0000
4082,,"As you enter the bar, you recognize a man wearing a United Galactic Express uniform.  Remembering your recommendation, you figure you could probably get a job here. Do you approach the man?",-1,,0x0000
4083,,"United Galactic Express needs to deliver <CQ> tons of <CT> to <DST> in the <DSY> system by <DL>.  As usual, expect Consolidated Express interference.  Pay is 85,000 credits.",-1,,0x0000
4084,,"United Galactic Express needs to deliver <CQ> tons of <CT> to <DST> in the <DSY> system by <DL>.  As usual, expect Consolidated Express interference.  Pay is 105,000 credits.",-1,,0x0000
4085,,"United Galactic Express needs to deliver <CQ> tons of <CT> to <DST> in the <DSY> system by <DL>.  As usual, expect Consolidated Express interference.  Pay is 90,000 credits.",-1,,0x0000
4086,,"United Galactic Express needs to deliver <CQ> tons of <CT> to <DST> in the <DSY> system by <DL>.  As usual, expect Consolidated Express interference.  Pay is 100,000 credits.",-1,,0x0000
4087,,"United Galactic Express needs to deliver <CQ> tons of <CT> to <DST> in the <DSY> system by <DL>.  As usual, expect Consolidated Express interference.  Pay is 95,000 credits.",-1,,0x0000
4088,,"United Galactic Express needs to deliver <CQ> tons of <CT> to <DST> in the <DSY> system by <DL>.  As usual, expect Consolidated Express interference.  Pay is 120,000 credits.",-1,,0x0000
4089,,"As you walk into the bar, you notice some UGE uniforms at a table in the back.  As you approach, you recognize Benedict Strauss, your old UGE friend.  He says, “Ah, <PN>, just the pilot I need to talk to.  Listen, you interested in making a few extra bucks offa UGE?”  He gives you a quick wink, and the other man at the table looks around nervously.  “So...  You in?”",-1,,0x0000
4090,,"As you walk into the bar, you notice some UGE uniforms at a table in the back.  As you approach, you recognize Benedict Strauss, your old UGE friend.  He says, “Ah, <PN>, just the pilot I need to talk to.  Listen, you interested in making a few extra bucks offa UGE?”  He gives you a quick wink, and the other man at the table looks around nervously.  “So...  You in?”",-1,,0x0000
4091,,"As you enter the bar, you are shocked to see Chris Richards himself, seated at a bar right before you.  He looks up, recognizes you, and to your surprise gives a faint smile.  Ask for your job back?",-1,,0x0000
4092,,"As you sit at a rickety table in the back of the bar, two Confederation officials attempt to enlist your help in escorting a Confed spy from Rebel territory and returning him safely to this station.  Will you accept their offer?",-1,,0x0000
4093,,You meet a Confed officer at the bar's entrance.  “We need your help in transporting sensitive data collected by our spies.  You want to help out again?”,-1,,0x0000
4094,,"A familiar Confederation officer approaches you as you enter the bar.  “We’ve determined the route of the Jericon Corporation’s secret shipping lanes, and we want to intercept one of their convoys.”  Will you help them?",-1,,0x0000
4095,,"A familiar Confederation officer approaches you as you enter the bar.  “We’ve determined the route of the another Jericon Corporation shipping lane, and we want you to intercept another convoys.”  Will you help them?",-1,,0x0000
4096,,MST Industries needs to transport hazardous materials to another Confederate planet for disposal.,-1,,0x0000
4097,,MST Industries has a shipment of refined toxins that needs to be transported to a manufacturer on <DST>.,-1,,0x0000
4098,,"A Confederate officer approaches you as you enter the bar.  “Hey, Captain <PN>!  You’ve helped us out quite a bit with your various shipping missions.  The truth is, we’ve used the chemicals to develop biological weapons that need to be delivered to the battle front.  Are you interested in transporting this cargo?”",-1,,0x0000
4099,,"A short, stocky Rebel officer approaches you as you sit down at the bar.  He asks you if you are interested in doing some reconnaissance work for the Rebellion.  “So, what do you say?”",-1,,0x0000
4100,,A clean-shaven man who looks to be an out-of-uniform Confederation naval officer sits down next to you. “Captain <PN>?” he says by way of greeting. “Confed High command has a problem that can’t be dealt with through normal military channels. We think you’re just the mercenary captain for the job. It may be a dangerous assignment... are you interested?”,-1,,0x0000
4101,,"A Confederation officer sits down next to you. “Captain <PN>, isn’t it?” he asks. “We have another job for you. This time the mission involves striking a Rebel freighter convoy. Are you interested?”",-1,,0x0000
4102,,"A Rebel officer approaches you. “Captain... we need your help,” he says. “Are you willing to do a little ‘pickup’ for us?”",-1,,0x0000
4103,,"The Rebel officer shakes your hand. “I see we didn’t scare you off with the first mission,” he laughs. “We need to get a Rebel SEAL team to Port Oread. Will you take the mission?”",-1,,0x0000
4104,,"The SEAL team leader approaches you in the bar. “You need to get to Ruby. We’re not going with you for this portion of the mission, but it should be a simple pickup. Can you do it?”",-1,,0x0000
4105,,"The SEAL team leader meets you in the bar and asks, “Are you ready to go?”",-1,,0x0000
4106,,The Rebel officer from the Astrodyne Outpost missions is in the bar. He waves you over to his table and asks if you’re willing to accept another job. Interested?,-1,,0x0000
4107,,"The Rebel officer from the Astrodyne Outpost missions approaches you in the bar. “We have one more mission for you,” he says. “Are you willing to help us one more time?”",-1,,0x0000
4108,,"An old man in tattered clothes approaches you.  “Greetings, my friend,” he says. “My name is Lucas. I need safe passage to <RST> in the <RSY> system.  I will reward you well when we land.  Are you interested?”",-1,,0x0000
4109,,"Remembering your strange passenger, you ask the bartender if Lucas is around. He doesn’t know what you are talking about, but a dark haired man in flowing robes approaches you. “We were told by Lucas that you would come here, <PN>,” he says. “We need someone to pick up some documents. Are you interested?”",-1,,0x0000
4110,,"You recognize the man sitting at a dark booth on the other side of the bar as Lucas. As you approach him, you notice that he is reading a handheld display with an expression of great concern. Without looking up he says, “So, <PN>, we meet again. My agents have informed me of your help with the retreival of certain vital documents. We have another problem, though. Are you willing to accept another job from the Artemis Group?""",-1,,0x0000
4111,,"As you enter the bar you see Lucas and his son Joseph talking quietly.  They motion you over. “On his last spy mission Joseph determined that the new pirate leader Nar Akasi is uniting the pirates for a major offensive,” Lucas informs you. “They aim to smash interstellar trade, loot every world they find, and destroy Confederation outposts in an attempt to tip the outcome of the civil war. It looks like they will have the ships and pilots to do it too. <PN>, we need your help again. Will you take Joseph to <DST>?”",-1,,0x0000
4112,,"“We have one last chance,” Lucas tells you as you sit down. “The Rebels and militias won’t help us, but I know someone else who might. Will you take me to <DST>?”",-1,,0x0000
4113,,Joseph buys you a synthale.  “The time has come for a preemptive strike to prevent the pirates from carrying out their plans. We have located a staging point in the <DSY> system. Will you fly there and fight with us?”,-1,,0x0000
4114,,"As you sit sipping a Samarian Sunset, a Confederation miltary officer sits down next to you. “Captain <PN>,” he says, “we have a slight problem with the Rebellion that we think you may be able to take care of for us. The Rebels are attempting to field a new type of warship, and  we can’t allow them to go through with their plans. Are you interested in the mission?”",-1,,0x0000
4115,,"A Confederation officer approaches you. “Captain <PN>, we have another job for you,” he says. “Another Rebel escort carrier has been sighted near the <RSY> system, and has been disrupting Confederation shipping in this region of space for the last week. We need this escort carrier eliminated so that the normal flow of supplies can be reestablished - interested in the job?”",-1,,0x0000
5001,,"“Look, here’s the deal,” the man says, his eyes never lingering in the same place for too long. “The Confederation wants me dead. I need to get to <DST> without any... shall we say, ‘entanglements.’”",-1,,0x0000
5004,,"“Arr, here’s the deal,” the crusty old pirate. “Yer mission is to take <CQ> tons of the ‘good stuff’ - heh heh - to <DST>. Me mates’ll pay you a hearty sum when you get there. Oh, and watch out for those sissy-boy Confed patrols.”",-1,,0x0000
5005,,"A team of Astex technicians installs a core-drilling rig on your ship and gives you your instructions: “You must go to the <DSY> system and land on <DST>. This drilling rig will then automatically extract <CQ> tons of <CT> and load them into your cargo bay. When you are finished, return here for payment. By the way, watch out for pirates!”",-1,,0x0000
5006,,"The shadowy figure gives you your assignment: “A small convoy of Confederation freighters will be passing through this system soon. Ambush them and steal the munitions they have on board, then take them to <DST> in the <DSY> system. I guarantee we’ll make it worth your while.”",-1,,0x0000
5017,,"“The pirate ship <SN> has been plundering and destroying freighters in this system for the past week,” the official informs you. “We know it’s hiding nearby - your mission is to locate and destroy this pirate. You should also be aware that the <SN>’s fighter escorts have been patrolling the area, and will probably attempt to hinder your search.”",-1,,0x0000
5018,,"“A member of the Confederation Senate will be travelling in a passenger ship through this region in a few hours,” the Rebel informs you. “If you succeed in destroying his ship, the Rebellion will pay you... most handsomely.”",-1,,0x0000
5021,,"The man leads you to his office. “The Confederation passenger ship <SN> has hit a gravitic mine in a nearby system and is adrift in space,” he says. “We’re not sure exactly where the ship is, but judging by the strength of the distress beacon, it’s close by. Your mission is to rescue the passengers of the <SN> and bring them safely back to <RST>. Be advised that the ship’s life support systems will only hold out for another month.”",-1,,0x0000
5023,,“Great!” the freighter captain says. “The rest of my convoy will arrive soon - protect us from pirates on the way to <RST> and we’ll make it worth your while.”,-1,,0x0000
5024,,"“For years, our seas have been clean and bountiful,” says the high-ranking representative of Diphidia’s government. “But now, someone is illegally dumping toxic wastes into our oceans. We are a peaceful planet; we have no military forces with which to combat this threat to our ecosystem. Nevertheless, it is imperative that we discover who is behind this - your mission is to scout out our system and report back with what you find.”",-1,,0x0000
5025,,"“The freighter you observed on your last mission has been traced to the Astex mining facilities on New Providence,” the official informs you. “So that we may learn if Astex has anything to do with our environmental problems, we need you to go to the Antares system and report back with what you find.”",-1,,0x0000
5026,,"“All signs so far indicate that Astex is behind the toxic chemical dumping,” says the official, “However, we must be sure. We require of you the unusual and extreme task of disabling a passing Astex freighter and confiscating a sample of the ore in its cargo bays. We can then analyze it to determine if it matches the chemicals being dumped into our oceans.”",-1,,0x0000
5027,,"“Thanks to your brave work,” says the Diphidian official, “we have determined that Astex is indeed responsible for dumping these toxic wastes into the oceans of our nearby planet. Now that we know, we need to send Astex a clear message. We need you to destroy a freighter convoy that is approaching our planet.”",-1,,0x0000
